seqnames,start,end,width,strand,source,type,gene_id,score,phase,Name,transcript_id,Parent,tss_type,ID,operon_id,status
XSR,8312,9633,1322,+,AUGUSTUS,gene,g11568,NA,NA,NA,NA,NA,NA,g11568,operon_1,leader
XSR,9684,10714,1031,+,AUGUSTUS,gene,g11569,NA,NA,NA,NA,NA,NA,g11569,operon_1,trailing
XSR,10744,11557,814,+,AUGUSTUS,gene,g11570,NA,NA,NA,NA,NA,NA,g11570,operon_1,trailing
XSR,11955,16043,4089,+,AUGUSTUS,gene,g11571,NA,NA,NA,NA,NA,NA,g11571,operon_1,trailing
XSR,36432,39754,3323,+,AUGUSTUS,gene,g11576,NA,NA,NA,NA,NA,NA,g11576,operon_2,leader
XSR,39794,47860,8067,+,AUGUSTUS,gene,g11577,NA,NA,NA,NA,NA,NA,g11577,operon_2,trailing
XSR,39794,47860,8067,+,AUGUSTUS,gene,g11577,NA,NA,NA,NA,NA,NA,g11577,operon_3,leader
XSR,48186,53402,5217,+,AUGUSTUS,gene,g11578,NA,NA,NA,NA,NA,NA,g11578,operon_3,trailing
XSR,57875,59548,1674,+,AUGUSTUS,gene,g11580,NA,NA,NA,NA,NA,NA,g11580,operon_4,leader
XSR,59642,60430,789,+,AUGUSTUS,gene,g11581,NA,NA,NA,NA,NA,NA,g11581,operon_4,trailing
XSR,59642,60430,789,+,AUGUSTUS,gene,g11581,NA,NA,NA,NA,NA,NA,g11581,operon_5,leader
XSR,60496,66921,6426,+,AUGUSTUS,gene,g11582,NA,NA,NA,NA,NA,NA,g11582,operon_5,trailing
XSR,66941,71428,4488,+,AUGUSTUS,gene,g11583,NA,NA,NA,NA,NA,NA,g11583,operon_5,trailing
XSR,89147,94285,5139,+,AUGUSTUS,gene,g11591,NA,NA,NA,NA,NA,NA,g11591,operon_6,leader
XSR,94616,96050,1435,+,AUGUSTUS,gene,g11592,NA,NA,NA,NA,NA,NA,g11592,operon_6,trailing
XSR,96308,96984,677,+,AUGUSTUS,gene,g11593,NA,NA,NA,NA,NA,NA,g11593,operon_6,trailing
XSR,96308,96984,677,+,AUGUSTUS,gene,g11593,NA,NA,NA,NA,NA,NA,g11593,operon_7,leader
XSR,97063,99155,2093,+,AUGUSTUS,gene,g11594,NA,NA,NA,NA,NA,NA,g11594,operon_7,trailing
XSR,121374,122963,1590,+,AUGUSTUS,gene,g11602,NA,NA,NA,NA,NA,NA,g11602,operon_8,leader
XSR,123053,124616,1564,+,AUGUSTUS,gene,g11603,NA,NA,NA,NA,NA,NA,g11603,operon_8,trailing
XSR,127473,128706,1234,+,AUGUSTUS,gene,g11605,NA,NA,NA,NA,NA,NA,g11605,operon_9,leader
XSR,128462,130552,2091,+,AUGUSTUS,gene,g11606,NA,NA,NA,NA,NA,NA,g11606,operon_9,trailing
XSR,130758,131548,791,+,AUGUSTUS,gene,g11607,NA,NA,NA,NA,NA,NA,g11607,operon_10,leader
XSR,131990,132758,769,+,AUGUSTUS,gene,g11608,NA,NA,NA,NA,NA,NA,g11608,operon_10,trailing
XSR,191949,194238,2290,+,AUGUSTUS,gene,g11622,NA,NA,NA,NA,NA,NA,g11622,operon_11,leader
XSR,194482,198333,3852,+,AUGUSTUS,gene,g11623,NA,NA,NA,NA,NA,NA,g11623,operon_11,trailing
XSR,201075,202638,1564,+,AUGUSTUS,gene,g11624,NA,NA,NA,NA,NA,NA,g11624,operon_12,leader
XSR,202487,206740,4254,+,AUGUSTUS,gene,g11625,NA,NA,NA,NA,NA,NA,g11625,operon_12,trailing
XSR,206790,210185,3396,+,AUGUSTUS,gene,g11626,NA,NA,NA,NA,NA,NA,g11626,operon_12,trailing
XSR,211765,212431,667,+,AUGUSTUS,gene,g11627,NA,NA,NA,NA,NA,NA,g11627,operon_13,leader
XSR,212794,215111,2318,+,AUGUSTUS,gene,g11628,NA,NA,NA,NA,NA,NA,g11628,operon_13,trailing
XSR,255410,256516,1107,+,AUGUSTUS,gene,g11634,NA,NA,NA,NA,NA,NA,g11634,operon_14,leader
XSR,256695,260022,3328,+,AUGUSTUS,gene,g11635,NA,NA,NA,NA,NA,NA,g11635,operon_14,trailing
XSR,260499,264823,4325,+,AUGUSTUS,gene,g11636,NA,NA,NA,NA,NA,NA,g11636,operon_14,trailing
XSR,390146,392414,2269,+,AUGUSTUS,gene,g11659,NA,NA,NA,NA,NA,NA,g11659,operon_15,leader
XSR,392861,398157,5297,+,AUGUSTUS,gene,g11660,NA,NA,NA,NA,NA,NA,g11660,operon_15,trailing
XSR,401865,403142,1278,+,AUGUSTUS,gene,g11662,NA,NA,NA,NA,NA,NA,g11662,operon_16,leader
XSR,403573,405191,1619,+,AUGUSTUS,gene,g11663,NA,NA,NA,NA,NA,NA,g11663,operon_16,trailing
XSR,405624,408729,3106,+,AUGUSTUS,gene,g11664,NA,NA,NA,NA,NA,NA,g11664,operon_16,trailing
XSR,469415,471747,2333,+,AUGUSTUS,gene,g11682,NA,NA,NA,NA,NA,NA,g11682,operon_17,leader
XSR,471870,472689,820,+,AUGUSTUS,gene,g11683,NA,NA,NA,NA,NA,NA,g11683,operon_17,trailing
XSR,698332,702220,3889,+,AUGUSTUS,gene,g11726,NA,NA,NA,NA,NA,NA,g11726,operon_18,leader
XSR,702626,706867,4242,+,AUGUSTUS,gene,g11727,NA,NA,NA,NA,NA,NA,g11727,operon_18,trailing
XSR,746807,747093,287,+,AUGUSTUS,gene,g11738,NA,NA,NA,NA,NA,NA,g11738,operon_19,leader
XSR,747462,748752,1291,+,AUGUSTUS,gene,g11739,NA,NA,NA,NA,NA,NA,g11739,operon_19,trailing
XSR,811180,813001,1822,+,AUGUSTUS,gene,g11752,NA,NA,NA,NA,NA,NA,g11752,operon_20,leader
XSR,813135,819127,5993,+,AUGUSTUS,gene,g11753,NA,NA,NA,NA,NA,NA,g11753,operon_20,trailing
XSR,819510,821919,2410,+,AUGUSTUS,gene,g11754,NA,NA,NA,NA,NA,NA,g11754,operon_20,trailing
XSR,822091,825675,3585,+,AUGUSTUS,gene,g11755,NA,NA,NA,NA,NA,NA,g11755,operon_20,trailing
XSR,973748,975519,1772,+,AUGUSTUS,gene,g11784,NA,NA,NA,NA,NA,NA,g11784,operon_21,leader
XSR,975659,978844,3186,+,AUGUSTUS,gene,g11785,NA,NA,NA,NA,NA,NA,g11785,operon_21,trailing
XSR,983313,984744,1432,+,AUGUSTUS,gene,g11788,NA,NA,NA,NA,NA,NA,g11788,operon_22,leader
XSR,985221,988195,2975,+,AUGUSTUS,gene,g11789,NA,NA,NA,NA,NA,NA,g11789,operon_22,trailing
XSR,993794,997711,3918,+,AUGUSTUS,gene,g11791,NA,NA,NA,NA,NA,NA,g11791,operon_23,leader
XSR,998052,999532,1481,+,AUGUSTUS,gene,g11792,NA,NA,NA,NA,NA,NA,g11792,operon_23,trailing
XSR,1001292,1005036,3745,+,AUGUSTUS,gene,g11793,NA,NA,NA,NA,NA,NA,g11793,operon_24,leader
XSR,1004738,1005840,1103,+,AUGUSTUS,gene,g11794,NA,NA,NA,NA,NA,NA,g11794,operon_24,trailing
XSR,1006114,1006914,801,+,AUGUSTUS,gene,g11795,NA,NA,NA,NA,NA,NA,g11795,operon_24,trailing
XSR,1006981,1009497,2517,+,AUGUSTUS,gene,g11796,NA,NA,NA,NA,NA,NA,g11796,operon_24,trailing
XSR,1009538,1009834,297,+,AUGUSTUS,gene,g11797,NA,NA,NA,NA,NA,NA,g11797,operon_24,trailing
XSR,1124814,1127394,2581,+,Liftoff,gene,GSOIDG00007981001,NA,NA,NA,NA,NA,NA,GSOIDG00007981001,operon_25,leader
XSR,1127481,1129180,1700,+,AUGUSTUS,gene,g11823,NA,NA,NA,NA,NA,NA,g11823,operon_25,trailing
XSR,1140301,1142633,2333,+,AUGUSTUS,gene,g11826,NA,NA,NA,NA,NA,NA,g11826,operon_26,leader
XSR,1142658,1143521,864,+,AUGUSTUS,gene,g11827,NA,NA,NA,NA,NA,NA,g11827,operon_26,trailing
XSR,1143622,1146143,2522,+,AUGUSTUS,gene,g11828,NA,NA,NA,NA,NA,NA,g11828,operon_26,trailing
XSR,1146192,1147621,1430,+,AUGUSTUS,gene,g11829,NA,NA,NA,NA,NA,NA,g11829,operon_26,trailing
XSR,1228242,1231557,3316,+,AUGUSTUS,gene,g11854,NA,NA,NA,NA,NA,NA,g11854,operon_27,leader
XSR,1231932,1237992,6061,+,AUGUSTUS,gene,g11855,NA,NA,NA,NA,NA,NA,g11855,operon_27,trailing
XSR,1243419,1244192,774,+,AUGUSTUS,gene,g11857,NA,NA,NA,NA,NA,NA,g11857,operon_28,leader
XSR,1244434,1245362,929,+,AUGUSTUS,gene,g11858,NA,NA,NA,NA,NA,NA,g11858,operon_28,trailing
XSR,1299022,1301183,2162,+,AUGUSTUS,gene,g11867,NA,NA,NA,NA,NA,NA,g11867,operon_29,leader
XSR,1301231,1305931,4701,+,AUGUSTUS,gene,g11868,NA,NA,NA,NA,NA,NA,g11868,operon_29,trailing
XSR,1301231,1305931,4701,+,AUGUSTUS,gene,g11868,NA,NA,NA,NA,NA,NA,g11868,operon_30,leader
XSR,1306067,1306801,735,+,AUGUSTUS,gene,g11869,NA,NA,NA,NA,NA,NA,g11869,operon_30,trailing
XSR,1371869,1378146,6278,+,AUGUSTUS,gene,g11885,NA,NA,NA,NA,NA,NA,g11885,operon_31,leader
XSR,1378222,1379310,1089,+,AUGUSTUS,gene,g11886,NA,NA,NA,NA,NA,NA,g11886,operon_31,trailing
XSR,1413110,1415164,2055,+,Liftoff,gene,GSOIDG00015084001,NA,NA,NA,NA,NA,NA,GSOIDG00015084001,operon_32,leader
XSR,1415176,1416847,1672,+,Liftoff,gene,GSOIDG00015085001,NA,NA,NA,NA,NA,NA,GSOIDG00015085001,operon_32,trailing
XSR,1417125,1424934,7810,+,AUGUSTUS,gene,g11895,NA,NA,NA,NA,NA,NA,g11895,operon_32,trailing
XSR,1417125,1424934,7810,+,AUGUSTUS,gene,g11895,NA,NA,NA,NA,NA,NA,g11895,operon_33,leader
XSR,1424562,1425743,1182,+,AUGUSTUS,gene,g11896,NA,NA,NA,NA,NA,NA,g11896,operon_33,trailing
XSR,1426249,1427541,1293,+,AUGUSTUS,gene,g11897,NA,NA,NA,NA,NA,NA,g11897,operon_34,leader
XSR,1427562,1431876,4315,+,AUGUSTUS,gene,g11898,NA,NA,NA,NA,NA,NA,g11898,operon_34,trailing
XSR,1432003,1434185,2183,+,AUGUSTUS,gene,g11899,NA,NA,NA,NA,NA,NA,g11899,operon_35,leader
XSR,1434205,1435752,1548,+,AUGUSTUS,gene,g11900,NA,NA,NA,NA,NA,NA,g11900,operon_35,trailing
XSR,1467442,1470864,3423,+,AUGUSTUS,gene,g11908,NA,NA,NA,NA,NA,NA,g11908,operon_36,leader
XSR,1471157,1471896,740,+,AUGUSTUS,gene,g11909,NA,NA,NA,NA,NA,NA,g11909,operon_36,trailing
XSR,1483038,1495458,12421,+,AUGUSTUS,gene,g11911,NA,NA,NA,NA,NA,NA,g11911,operon_37,leader
XSR,1495612,1500747,5136,+,AUGUSTUS,gene,g11912,NA,NA,NA,NA,NA,NA,g11912,operon_37,trailing
XSR,1501167,1502771,1605,+,AUGUSTUS,gene,g11913,NA,NA,NA,NA,NA,NA,g11913,operon_37,trailing
XSR,1532624,1534388,1765,+,AUGUSTUS,gene,g11921,NA,NA,NA,NA,NA,NA,g11921,operon_38,leader
XSR,1534416,1535330,915,+,AUGUSTUS,gene,g11922,NA,NA,NA,NA,NA,NA,g11922,operon_38,trailing
XSR,1535315,1536859,1545,+,AUGUSTUS,gene,g11923,NA,NA,NA,NA,NA,NA,g11923,operon_38,trailing
XSR,1537273,1539337,2065,+,AUGUSTUS,gene,g11924,NA,NA,NA,NA,NA,NA,g11924,operon_38,trailing
XSR,1544496,1547375,2880,+,AUGUSTUS,gene,g11926,NA,NA,NA,NA,NA,NA,g11926,operon_39,leader
XSR,1547506,1549580,2075,+,AUGUSTUS,gene,g11927,NA,NA,NA,NA,NA,NA,g11927,operon_39,trailing
XSR,1549669,1550859,1191,+,AUGUSTUS,gene,g11928,NA,NA,NA,NA,NA,NA,g11928,operon_39,trailing
XSR,1586911,1589402,2492,+,AUGUSTUS,gene,g11941,NA,NA,NA,NA,NA,NA,g11941,operon_40,leader
XSR,1589685,1595544,5860,+,AUGUSTUS,gene,g11942,NA,NA,NA,NA,NA,NA,g11942,operon_40,trailing
XSR,1595603,1596279,677,+,AUGUSTUS,gene,g11943,NA,NA,NA,NA,NA,NA,g11943,operon_41,leader
XSR,1596521,1597094,574,+,Liftoff,gene,GSOIDG00015141001,NA,NA,NA,NA,NA,NA,GSOIDG00015141001,operon_41,trailing
XSR,1674566,1677590,3025,+,AUGUSTUS,gene,g11962,NA,NA,NA,NA,NA,NA,g11962,operon_42,leader
XSR,1677659,1685264,7606,+,AUGUSTUS,gene,g11963,NA,NA,NA,NA,NA,NA,g11963,operon_42,trailing
XSR,1767171,1771300,4130,+,AUGUSTUS,gene,g11987,NA,NA,NA,NA,NA,NA,g11987,operon_43,leader
XSR,1771578,1772647,1070,+,AUGUSTUS,gene,g11988,NA,NA,NA,NA,NA,NA,g11988,operon_43,trailing
XSR,1812459,1812965,507,+,AUGUSTUS,gene,g11998,NA,NA,NA,NA,NA,NA,g11998,operon_44,leader
XSR,1813224,1817598,4375,+,AUGUSTUS,gene,g11999,NA,NA,NA,NA,NA,NA,g11999,operon_44,trailing
XSR,1813224,1817598,4375,+,AUGUSTUS,gene,g11999,NA,NA,NA,NA,NA,NA,g11999,operon_45,leader
XSR,1817752,1818159,408,+,AUGUSTUS,gene,g12000,NA,NA,NA,NA,NA,NA,g12000,operon_45,trailing
XSR,1847626,1851705,4080,+,AUGUSTUS,gene,g12008,NA,NA,NA,NA,NA,NA,g12008,operon_46,leader
XSR,1851403,1853121,1719,+,AUGUSTUS,gene,g12009,NA,NA,NA,NA,NA,NA,g12009,operon_46,trailing
XSR,1933585,1935575,1991,+,AUGUSTUS,gene,g12034,NA,NA,NA,NA,NA,NA,g12034,operon_47,leader
XSR,1935867,1937970,2104,+,AUGUSTUS,gene,g12035,NA,NA,NA,NA,NA,NA,g12035,operon_47,trailing
XSR,1993020,1996213,3194,+,AUGUSTUS,gene,g12052,NA,NA,NA,NA,NA,NA,g12052,operon_48,leader
XSR,1996230,1998471,2242,+,AUGUSTUS,gene,g12053,NA,NA,NA,NA,NA,NA,g12053,operon_48,trailing
XSR,2094667,2095634,968,+,AUGUSTUS,gene,g12082,NA,NA,NA,NA,NA,NA,g12082,operon_49,leader
XSR,2095786,2096816,1031,+,AUGUSTUS,gene,g12083,NA,NA,NA,NA,NA,NA,g12083,operon_49,trailing
XSR,2134073,2137447,3375,+,AUGUSTUS,gene,g12098,NA,NA,NA,NA,NA,NA,g12098,operon_50,leader
XSR,2137419,2141151,3733,+,AUGUSTUS,gene,g12099,NA,NA,NA,NA,NA,NA,g12099,operon_50,trailing
XSR,2194053,2195853,1801,+,AUGUSTUS,gene,g12123,NA,NA,NA,NA,NA,NA,g12123,operon_51,leader
XSR,2196160,2196695,536,+,AUGUSTUS,gene,g12124,NA,NA,NA,NA,NA,NA,g12124,operon_51,trailing
XSR,2281262,2281689,428,+,Liftoff,gene,GSOIDG00003187001,NA,NA,NA,NA,NA,NA,GSOIDG00003187001,operon_52,leader
XSR,2281917,2282507,591,+,Liftoff,gene,GSOIDG00003188001,NA,NA,NA,NA,NA,NA,GSOIDG00003188001,operon_52,trailing
XSR,2319040,2320334,1295,+,AUGUSTUS,gene,g12167,NA,NA,NA,NA,NA,NA,g12167,operon_53,leader
XSR,2320376,2322226,1851,+,AUGUSTUS,gene,g12168,NA,NA,NA,NA,NA,NA,g12168,operon_53,trailing
XSR,2322930,2324529,1600,+,AUGUSTUS,gene,g12170,NA,NA,NA,NA,NA,NA,g12170,operon_54,leader
XSR,2324249,2326078,1830,+,AUGUSTUS,gene,g12171,NA,NA,NA,NA,NA,NA,g12171,operon_54,trailing
XSR,2324249,2326078,1830,+,AUGUSTUS,gene,g12171,NA,NA,NA,NA,NA,NA,g12171,operon_55,leader
XSR,2326132,2328476,2345,+,AUGUSTUS,gene,g12172,NA,NA,NA,NA,NA,NA,g12172,operon_55,trailing
