seqnames,start,end,width,strand,source,type,gene_id,score,phase,Name,transcript_id,Parent,tss_type,ID,operon_id,status
chr1,270825,272265,1441,+,AUGUSTUS,gene,g11,NA,NA,NA,NA,NA,NA,g11,operon_1,leader
chr1,272376,275531,3156,+,AUGUSTUS,gene,g12,NA,NA,NA,NA,NA,NA,g12,operon_1,trailing
chr1,281298,281962,665,+,AUGUSTUS,gene,g16,NA,NA,NA,NA,NA,NA,g16,operon_2,leader
chr1,282222,282702,481,+,AUGUSTUS,gene,g17,NA,NA,NA,NA,NA,NA,g17,operon_2,trailing
chr1,556381,563738,7358,+,AUGUSTUS,gene,g57,NA,NA,NA,NA,NA,NA,g57,operon_3,leader
chr1,563940,564290,351,+,AUGUSTUS,gene,g58,NA,NA,NA,NA,NA,NA,g58,operon_3,trailing
chr1,564758,567628,2871,+,AUGUSTUS,gene,g59,NA,NA,NA,NA,NA,NA,g59,operon_3,trailing
chr1,575955,576941,987,+,AUGUSTUS,gene,g61,NA,NA,NA,NA,NA,NA,g61,operon_4,leader
chr1,577094,579640,2547,+,AUGUSTUS,gene,g62,NA,NA,NA,NA,NA,NA,g62,operon_4,trailing
chr1,654071,657475,3405,+,AUGUSTUS,gene,g78,NA,NA,NA,NA,NA,NA,g78,operon_5,leader
chr1,657665,659584,1920,+,AUGUSTUS,gene,g79,NA,NA,NA,NA,NA,NA,g79,operon_5,trailing
chr1,659924,661392,1469,+,AUGUSTUS,gene,g80,NA,NA,NA,NA,NA,NA,g80,operon_5,trailing
chr1,665347,666077,731,+,AUGUSTUS,gene,g82,NA,NA,NA,NA,NA,NA,g82,operon_6,leader
chr1,666327,667543,1217,+,AUGUSTUS,gene,g83,NA,NA,NA,NA,NA,NA,g83,operon_6,trailing
chr1,667771,669540,1770,+,AUGUSTUS,gene,g84,NA,NA,NA,NA,NA,NA,g84,operon_6,trailing
chr1,669918,671085,1168,+,AUGUSTUS,gene,g85,NA,NA,NA,NA,NA,NA,g85,operon_6,trailing
chr1,678197,683267,5071,+,AUGUSTUS,gene,g88,NA,NA,NA,NA,NA,NA,g88,operon_7,leader
chr1,683557,684654,1098,+,AUGUSTUS,gene,g89,NA,NA,NA,NA,NA,NA,g89,operon_7,trailing
chr1,690702,691366,665,+,AUGUSTUS,gene,g92,NA,NA,NA,NA,NA,NA,g92,operon_8,leader
chr1,691410,698466,7057,+,AUGUSTUS,gene,g93,NA,NA,NA,NA,NA,NA,g93,operon_8,trailing
chr1,773880,775287,1408,+,AUGUSTUS,gene,g113,NA,NA,NA,NA,NA,NA,g113,operon_9,leader
chr1,775725,776205,481,+,AUGUSTUS,gene,g114,NA,NA,NA,NA,NA,NA,g114,operon_9,trailing
chr1,779684,780593,910,+,AUGUSTUS,gene,g116,NA,NA,NA,NA,NA,NA,g116,operon_10,leader
chr1,780692,782277,1586,+,AUGUSTUS,gene,g117,NA,NA,NA,NA,NA,NA,g117,operon_10,trailing
chr1,797146,799438,2293,+,AUGUSTUS,gene,g123,NA,NA,NA,NA,NA,NA,g123,operon_11,leader
chr1,799578,802021,2444,+,AUGUSTUS,gene,g124,NA,NA,NA,NA,NA,NA,g124,operon_11,trailing
chr1,802236,802730,495,+,AUGUSTUS,gene,g125,NA,NA,NA,NA,NA,NA,g125,operon_11,trailing
chr1,803024,803439,416,+,AUGUSTUS,gene,g126,NA,NA,NA,NA,NA,NA,g126,operon_11,trailing
chr1,811750,814411,2662,+,AUGUSTUS,gene,g128,NA,NA,NA,NA,NA,NA,g128,operon_12,leader
chr1,814897,818993,4097,+,AUGUSTUS,gene,g129,NA,NA,NA,NA,NA,NA,g129,operon_12,trailing
chr1,814897,818993,4097,+,AUGUSTUS,gene,g129,NA,NA,NA,NA,NA,NA,g129,operon_13,leader
chr1,819039,819344,306,+,AUGUSTUS,gene,g130,NA,NA,NA,NA,NA,NA,g130,operon_13,trailing
chr1,843245,844713,1469,+,AUGUSTUS,gene,g137,NA,NA,NA,NA,NA,NA,g137,operon_14,leader
chr1,844932,848983,4052,+,AUGUSTUS,gene,g138,NA,NA,NA,NA,NA,NA,g138,operon_14,trailing
chr1,849217,850580,1364,+,AUGUSTUS,gene,g139,NA,NA,NA,NA,NA,NA,g139,operon_14,trailing
chr1,850804,853178,2375,+,AUGUSTUS,gene,g140,NA,NA,NA,NA,NA,NA,g140,operon_14,trailing
chr1,1023582,1025168,1587,+,AUGUSTUS,gene,g181,NA,NA,NA,NA,NA,NA,g181,operon_15,leader
chr1,1025416,1027413,1998,+,AUGUSTUS,gene,g182,NA,NA,NA,NA,NA,NA,g182,operon_15,trailing
chr1,1027845,1029974,2130,+,AUGUSTUS,gene,g183,NA,NA,NA,NA,NA,NA,g183,operon_15,trailing
chr1,1032816,1034953,2138,+,AUGUSTUS,gene,g185,NA,NA,NA,NA,NA,NA,g185,operon_16,leader
chr1,1035079,1037305,2227,+,AUGUSTUS,gene,g186,NA,NA,NA,NA,NA,NA,g186,operon_16,trailing
chr1,1070310,1072442,2133,+,AUGUSTUS,gene,g197,NA,NA,NA,NA,NA,NA,g197,operon_17,leader
chr1,1072797,1073464,668,+,AUGUSTUS,gene,g198,NA,NA,NA,NA,NA,NA,g198,operon_17,trailing
chr1,1073498,1074071,574,+,AUGUSTUS,gene,g199,NA,NA,NA,NA,NA,NA,g199,operon_17,trailing
chr1,1146073,1151612,5540,+,AUGUSTUS,gene,g218,NA,NA,NA,NA,NA,NA,g218,operon_18,leader
chr1,1151942,1156830,4889,+,AUGUSTUS,gene,g219,NA,NA,NA,NA,NA,NA,g219,operon_18,trailing
chr1,1250087,1252440,2354,+,AUGUSTUS,gene,g239,NA,NA,NA,NA,NA,NA,g239,operon_19,leader
chr1,1252549,1253917,1369,+,AUGUSTUS,gene,g240,NA,NA,NA,NA,NA,NA,g240,operon_19,trailing
chr1,1254294,1256663,2370,+,AUGUSTUS,gene,g241,NA,NA,NA,NA,NA,NA,g241,operon_19,trailing
chr1,1262192,1266508,4317,+,AUGUSTUS,gene,g242,NA,NA,NA,NA,NA,NA,g242,operon_20,leader
chr1,1266773,1268193,1421,+,AUGUSTUS,gene,g243,NA,NA,NA,NA,NA,NA,g243,operon_20,trailing
chr1,1271671,1273178,1508,+,AUGUSTUS,gene,g246,NA,NA,NA,NA,NA,NA,g246,operon_21,leader
chr1,1273369,1274080,712,+,AUGUSTUS,gene,g247,NA,NA,NA,NA,NA,NA,g247,operon_21,trailing
chr1,1274466,1276178,1713,+,AUGUSTUS,gene,g248,NA,NA,NA,NA,NA,NA,g248,operon_21,trailing
chr1,1276330,1278905,2576,+,AUGUSTUS,gene,g249,NA,NA,NA,NA,NA,NA,g249,operon_21,trailing
chr1,1284570,1284934,365,+,AUGUSTUS,gene,g252,NA,NA,NA,NA,NA,NA,g252,operon_22,leader
chr1,1285100,1286102,1003,+,AUGUSTUS,gene,g253,NA,NA,NA,NA,NA,NA,g253,operon_22,trailing
chr1,1286436,1292456,6021,+,AUGUSTUS,gene,g254,NA,NA,NA,NA,NA,NA,g254,operon_22,trailing
chr1,1332975,1334919,1945,+,AUGUSTUS,gene,g273,NA,NA,NA,NA,NA,NA,g273,operon_23,leader
chr1,1335233,1335792,560,+,AUGUSTUS,gene,g274,NA,NA,NA,NA,NA,NA,g274,operon_23,trailing
chr1,1363697,1364516,820,+,AUGUSTUS,gene,g281,NA,NA,NA,NA,NA,NA,g281,operon_24,leader
chr1,1364508,1365888,1381,+,AUGUSTUS,gene,g282,NA,NA,NA,NA,NA,NA,g282,operon_24,trailing
chr1,1374903,1375917,1015,+,AUGUSTUS,gene,g287,NA,NA,NA,NA,NA,NA,g287,operon_25,leader
chr1,1376244,1378416,2173,+,AUGUSTUS,gene,g288,NA,NA,NA,NA,NA,NA,g288,operon_25,trailing
chr1,1378790,1380827,2038,+,AUGUSTUS,gene,g289,NA,NA,NA,NA,NA,NA,g289,operon_25,trailing
chr1,1435000,1440803,5804,+,AUGUSTUS,gene,g302,NA,NA,NA,NA,NA,NA,g302,operon_26,leader
chr1,1441044,1443166,2123,+,AUGUSTUS,gene,g303,NA,NA,NA,NA,NA,NA,g303,operon_26,trailing
chr1,1443195,1444478,1284,+,AUGUSTUS,gene,g304,NA,NA,NA,NA,NA,NA,g304,operon_26,trailing
chr1,1446408,1448117,1710,+,AUGUSTUS,gene,g306,NA,NA,NA,NA,NA,NA,g306,operon_27,leader
chr1,1448299,1450833,2535,+,AUGUSTUS,gene,g307,NA,NA,NA,NA,NA,NA,g307,operon_27,trailing
chr1,1585732,1587350,1619,+,AUGUSTUS,gene,g351,NA,NA,NA,NA,NA,NA,g351,operon_28,leader
chr1,1587797,1588680,884,+,AUGUSTUS,gene,g352,NA,NA,NA,NA,NA,NA,g352,operon_28,trailing
chr1,1645443,1649270,3828,+,AUGUSTUS,gene,g366,NA,NA,NA,NA,NA,NA,g366,operon_29,leader
chr1,1649187,1650424,1238,+,AUGUSTUS,gene,g367,NA,NA,NA,NA,NA,NA,g367,operon_29,trailing
chr1,1683413,1683966,554,+,AUGUSTUS,gene,g376,NA,NA,NA,NA,NA,NA,g376,operon_30,leader
chr1,1684062,1685741,1680,+,AUGUSTUS,gene,g377,NA,NA,NA,NA,NA,NA,g377,operon_30,trailing
chr1,1740456,1745543,5088,+,AUGUSTUS,gene,g388,NA,NA,NA,NA,NA,NA,g388,operon_31,leader
chr1,1745723,1746595,873,+,AUGUSTUS,gene,g389,NA,NA,NA,NA,NA,NA,g389,operon_31,trailing
chr1,1746763,1747748,986,+,AUGUSTUS,gene,g390,NA,NA,NA,NA,NA,NA,g390,operon_31,trailing
chr1,1752431,1756782,4352,+,AUGUSTUS,gene,g392,NA,NA,NA,NA,NA,NA,g392,operon_32,leader
