operon_id,gene_id,order
operon_1799,g9974,1
operon_1799,g9973,2
operon_1799,g9972,3
operon_1798,g9971,1
operon_1798,g9970,2
operon_1793,g9954,1
operon_1793,g9953,2
operon_1792,g9952,1
operon_1792,g9951,2
operon_1039,g6244,1
operon_1039,g6243,2
operon_1037,g6232,1
operon_1037,g6231,2
operon_1036,g6227,1
operon_1036,g6226,2
operon_1036,g6225,3
operon_1789,g9931,1
operon_1789,GSOIDG00002123001,2
operon_1035,g6224,1
operon_1035,g6223,2
operon_1028,g6182,1
operon_1028,g6181,2
operon_1028,g6180,3
operon_1028,g6179,4
operon_1776,GSOIDG00012953001,1
operon_1776,g9837,2
operon_1775,g9836,1
operon_1775,g9835,2
operon_1774,g9832,1
operon_1774,g9831,2
operon_1773,g9830,1
operon_1773,g9829,2
operon_1772,g9828,1
operon_1772,g9827_GSOIDG00012942001,2
operon_1771,g9820,1
operon_1771,g9819,2
operon_1770,g9818,1
operon_1770,g9817,2
operon_1768,g9809,1
operon_1768,g9808,2
operon_1768,GSOIDG00010977001,3
operon_1768,GSOIDG00010976001,4
operon_1768,g9806,5
operon_1767,g9804,1
operon_1767,g9803,2
operon_1766,g9802,1
operon_1766,g9801,2
operon_1763,g9792,1
operon_1763,g9791,2
operon_1762,g9790,1
operon_1762,g9789,2
operon_1761,g9787,1
operon_1761,g9786,2
operon_1756,g9760,1
operon_1756,g9759,2
operon_1756,g9758,3
operon_1755,g9754,1
operon_1755,g9753,2
operon_1020,g6146,1
operon_1020,g6145,2
operon_1751,GSOIDG00010897001,1
operon_1751,g9735,2
operon_1750,g9731,1
operon_1750,g9730,2
operon_1749,g9726,1
operon_1749,g9725,2
operon_1018,g6132,1
operon_1018,g6131,2
operon_1017,g6129,1
operon_1017,g6128,2
operon_1746,g9715,1
operon_1746,g9714,2
operon_1745,g9712,1
operon_1745,g9711,2
operon_1014,g6105,1
operon_1014,g6104,2
operon_1013,g6103,1
operon_1013,g6102,2
operon_1734,g9654,1
operon_1734,g9653,2
operon_1734,GSOIDG00002415001,3
operon_1734,GSOIDG00002414001,4
operon_1734,g9651,5
operon_2186,g13318,1
operon_2186,g13317,2
operon_2185,g13312,1
operon_2185,g13311,2
operon_2184,g13309,1
operon_2184,g13308,2
operon_1729,g9635,1
operon_1729,g9634,2
operon_1009,GSOIDG00002858001,1
operon_1009,GSOIDG00002857001,2
operon_1009,g6071,3
operon_2181,g13284,1
operon_2181,g13283,2
operon_2181,g13282,3
operon_2181,g13281,4
operon_1724,g9615,1
operon_1724,g9614,2
operon_2180,GSOIDG00007984001,1
operon_2180,GSOIDG00007983001,2
operon_2180,g13278,3
operon_2180,g13277,4
operon_1723,g9605,1
